Current St #,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Year Current Building Built
167,Mrs R Nathan. Furniture Dealer,,,"John G. McGregor, Product Merchant","John G. McGregor, Product Merchant",,,Jno G McGregor. Produce Merchant,,,,,Jno G McGregor. Produce Merchant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Menzel's Moter Tyre Retreaders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Echo Company Imported Goods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,"Governor Broome Hotel, P A Connolly","Governor Broome Hotel, P A Connolly",Governor Broome Hotel. Ernest Brumby,Governer Broome Hotel - Jas. Leslie Manager,Governer Broome Hotel - James Leslie Manager,Governer Broome Hotel - James Leslie Manager,,Governor Broome Hotel. James Leslie,,,,,Governor Broome Hotel. W J Davis,,,,,,,,,,"Gov. Broome Hotel (W G Davis, licensee)",,,,"Governor Broome Hotel, J A Meldrum",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Governor Broome Hotel,Vacant Lot,Vacant Lot,Vacant Lot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,Mrs R Nathan. Furniture Dealer,,Hy J Parker. Confectioner,"Mrs J. Grace, Confectioner","Vasele Zakomas, Confectioner",,,K. Andros. Fish Saloon,,,,,Power Bros. Plumbers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kalaf E, smallgoods dealer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vastese Catering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,"Governor Broome Hotel, P A Connolly",,Governor Broome Hotel. Ernest Brumby,,,,,,,,,,,,,,,,,,,,,,,,"Governor Broome Hotel, J A Meldrum",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Governor Broome Hotel,,Vacant Lot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,"Miss M J Le Mottee, Costumiere",,"Army & Navy Stores (Arthur C Macey, manager) Grocers","Army & Navy Stores (Arthur C Macey, manager) Grocers","Army & Navy Stores (Arthur C Macey, manager) Grocers",,,Mrs M A Haworth. Fruiterer & Confectioner,,,,"Stewart & Holmes, Furniture Dealers","Stewart & Holmes, Furniture Dealers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Belle Merzel Florist,,,,,,,,,,,,,,,,,,,,,,Exotic Body Piercing,Exotic Body Piercing,Exotic Body Piercing,Exotic Body Piercing,Exotic Body Piercing,Exotic Body Piercing,Exotic Body Piercing,Exotic Body Piercing,Exotic Body Piercing,Exotic Body Piercing,Exotic Body Piercing,Exotic Body Piercing,
172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Army Surplus Stores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,-,,"Mrs Rubenstein, Dealer","Mrs A Rubenstein, Dealer","Samuel Goode, Clother",,,Samuel Goode. Clothier,,,,,Samuel Goode. Clothier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oriental Grocery Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Turnstyle Collectables,Turnstyle Collectables,Turnstyle Collectables,Turnstyle Collectables,Turnstyle Collectables,Turnstyle Collectables,Turnstyle Collectables,Turnstyle Collectables,Turnstyle Collectables,Turnstyle Collectables,Turnstyle Collectables,Turnstyle Collectables,
174,"Governor Broome Hotel, P A Connolly",,Governor Broome Hotel. Ernest Brumby,,,,,,,,,,,,,,,,,,,,,,,,"Governor Broome Hotel, J A Meldrum",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Governor Broome Hotel,,Vacant Lot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,State Theatre Centre of WA,
175,J Loong  & Co. Greengrocers,,J Loong & co. Green Grocers,J Loong & co. Green Grocers,J Loong & co. Green Grocers,,,-,,,,,Samuel Goode. Clothier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Popular Drycleaners and Dryers,,,,,Drycleaner,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anna's Coffee Lounge,,,,,,,,,,,,,,,,,,,,,,Penang Food (Restaurant),Penang Food (Restaurant),Penang Food (Restaurant),Penang Food (Restaurant),Penang Food (Restaurant),Penang Food (Restaurant),,,,,,,
176,"Hedley J Hollway, Tobacconist",Holway H.J. tobacconist,"Hedley J Hollway, Tobacconist","Hedley J Hollway, Tobacconist","Hedley J Hollway, Tobacconist (R)","Hedley J Hollway, Tobacconist (R)",,"Hedley J Hollway, Tobacconist (R)",,,,,"Hedley J Hollway, Tobacconist and Hairdresser (R,S)",,,,,,,,,,"Holway, Hedley J, tob & hdssr",,,,"Hedley J Hollway, Tobacconist",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kim Anh Vietnamese Restaurant  (st# TBC - both sides of current STCWA offices),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,State Theatre Centre of WA,
177,Mrs L Luke. Ham & Beef Shop,,,"Mrs M. A Vila, A.N.A cafe","Mrs M. A Vila, A.N.A cafe",,,Mrs M Faulkner. A. N. A Cafe,,,,,Samuel Goode. Clothier,,,,,,,,,,,,,,,,,,,,"Lou's Hamburger Shop, restaraunt",Lous Hamburger Shop restaraunt,,,,,,,,"Clifton Hardware Co., hardware dealers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Venezia Tailors,,,,,,,,,,,,,,,,,,,,,,Penang Food (Restaurant),Penang Food (Restaurant),Penang Food (Restaurant),Penang Food (Restaurant),Penang Food (Restaurant),Penang Food (Restaurant),,,,,,,
