street_number,latitude,longitude,name_and_business,count,icon
459,-31.942929469999900,115.862966000000000,"Alfred Kemp, Hairdresser & Tobacconist; Mrs E Kemp, Confectioner.",65,icon_1915
454,-31.943306840000000,115.863460900000000,Champion Boot & Shoe manufacturing Co (Sam Lechovsky manager),61,icon_1915
253,-31.947768620000000,115.859961700000000,Britannia Coffee Palace. D. Bevan & W. Johns (proprietors),58,icon_1915
255,-31.947694599999900,115.859867800000000,Britannia Coffee Palace. D. Bevan & W. Johns (proprietors),58,icon_1915
204,-31.949105079999900,115.859471600000000,"Mary A Daniels, Furniture Dealer; William Daniels, Carrier",58,icon_1915
192,-31.949549170000000,115.859329600000000,National Bank of Australasia Ltd (Colin C Walker Manager),57,icon_1915
178,-31.949686450000000,115.859109100000000,Davies-Franklin Agency Ltd. Alfred Craig (manager) ,51,icon_1915
194,-31.949416710000000,115.859286999999000,"Lance & Co. Chemists (F. W Chegwidden, proprietor)",50,icon_1915
320,-31.946561939999900,115.861323600000000,Dewar & Walsh Grocers; Frederick E (D & W ) Walsh,49,icon_1915
458,-31.943170530000000,115.863475300000000,"Lance & Co, chemist, proprietor F. W. Chegwidden",48,icon_1915
338,-31.945893330000000,115.861513900000000,"Harry Brandreth; Mrs E. M. Brandreth, Fish Shop",47,icon_1915
221,-31.948548880000000,115.859505000000000,"Jos Rickard, Broker; Mrs A Rickard, Dressmaker",46,icon_1915
278,-31.947463480000000,115.860581999999000,George H Tomlinson. Hairdresser & Tobacconist,45,icon_1915
276 - GROUND,-31.947521909999900,115.860677499999000,"James Cringlington, confectioner & fruiterer ",45,icon_1915
245,-31.947900570000000,115.859741300000000,Harold Martin. Music Warehouse & Piano Tuner,44,icon_1915
289,-31.946831190000000,115.860277500000000,Arthur O'Donnell. Hairdresser & Tobacconist,43,icon_1915
215,-31.948603660000000,115.859219300000000,Daniel H Lillingston. Watchmaker & Jeweller,43,icon_1915
381,-31.944359120000000,115.861526200000000,"Perth Case Fety. (W H Wilcocks, Proprietor)",43,icon_1915
318,-31.946422819999900,115.861151600000000,Joseph Zeitlin. Confectioner & Greengrocer,42,icon_1915
193,-31.949248550000000,115.858964000000000,"William J Riley, Tobacconist & Hairdresser",42,icon_1915
415,-31.943941379999900,115.862192900000000,Bernhardt Santinover. Picture Frame Maker,41,icon_1915
171,-31.949576010000000,115.858440599999000,Mrs M A Haworth. Fruiterer & Confectioner,41,icon_1915
243,-31.948108040000000,115.859647200000000,"Swan Drug Co. (Fred. W E Danker, manager)",41,icon_1915
235,-31.948325449999900,115.859636100000000,Heinrich Schmidt senior. Lock & Gunsmith,40,icon_1915
280,-31.947436960000000,115.860657900000000,"Mrs M Lee, Dairy Products & Confectioner",40,icon_1915
205,-31.948807609999900,115.859178800000000,William Flint. Tobacconist & Hairdresser,40,icon_1915
236,-31.948466289999900,115.860124200000000,Jno J Stewart. Confectioner & Fruiterer,39,icon_1915
247,-31.947794550000000,115.859696900000000,Gleeson Jno. Hairdresser & Tobacconist,38,icon_1915
209,-31.948792180000000,115.859014900000000,Great Western Hotel.  George A Kentish,38,icon_1915
406,-31.944463169999900,115.862681200000000,Isia Krasnostein. Grocer & Greengrocer,38,icon_1915
190,-31.949521010000000,115.859512400000000,Jno H George Fruitier and Confectioner,38,icon_1915
182,-31.949611820000000,115.859164300000000,Johnsons Furnishing Co Ltd. Furnishers,38,icon_1915
198,-31.949337740000000,115.859453300000000,Perth Hostel (Mrs A Thomas Proprietor),38,icon_1915
234,-31.948434299999900,115.859933600000000,"Jacob Jacobs; I Mossenson, Watchmaker",37,icon_1915
200,-31.949243289999900,115.859423699999000,Mrs Hardy. Wine Saloon & Confectioner,37,icon_1915
208,-31.949014559999900,115.859524900000000,"Mrs L(ouisa?) Thorburn, Lodging house",37,icon_1915
257,-31.947606830000000,115.859839600000000,"Alex Patman, Wine Saloon & Fruiterer",36,icon_1915
450,-31.943307090000000,115.863119299999000,Jack Pope. Hairdresser & Tobacconist,36,icon_1915
271,-31.947307100000000,115.859912900000000,"Mrs  K Fielder, Baker & Confectioner",36,icon_1915
217,-31.948647210000000,115.859391100000000,Peter Wood. Fruiterer & Confectioner,36,icon_1915
339,-31.945632710000000,115.861267299999000,William G Weylandt. Produce Merchant,36,icon_1915
168,-31.950002649999900,115.859127099999000,Governor Broome Hotel. James Leslie,35,icon_1915
265,-31.947524800000000,115.859956500000000,Western Dairy Co (William H Taylor),35,icon_1915
201,-31.949116090000000,115.859095500000000,Sydney Kaberry. Leather & Grindery,34,icon_1915
237,-31.948151729999900,115.859466400000000,A J Cambridge & Co. Estate Agents,33,icon_1915
176,-31.949837330000000,115.859171000000000,"Hedley J Hollway, Tobacconist (R)",33,icon_1915
242 Ground,-31.948268410000000,115.859997200000000,Jos Bensky Furniture Manufacturer,33,icon_1915
167,-31.949723570000000,115.858725100000000,Jno G McGregor. Produce Merchant,32,icon_1915
427,-31.943474020000000,115.862415900000000,Mohammedan Mosque (Ayar Mohamed),32,icon_1915
267,-31.947411230000000,115.859923900000000,"Oddfellows' Hall (S G Uren, sec)",32,icon_1915
233,-31.948224790000000,115.859312700000000,Patrick J Kiernan. Lodging House,32,icon_1915
266,-31.947624690000000,115.860372799999000,William H Jones Furniture Dealer,32,icon_1915
241,-31.948050080000000,115.859487300000000,Harry. G. Campbell. Cycle Depot,31,icon_1915
430,-31.943959130000000,115.863099300000000,M Rosenblum. Fruiterer & Grocer,31,icon_1915
231,-31.948296549999900,115.859481000000000,Miss M McCradden. Lodging House,31,icon_1915
210,-31.948949590000000,115.859630400000000,Miss M Mckinley. Boarding house,31,icon_1915
246,-31.948067410000000,115.860118000000000,"Mrs M Cunningham, Lodging house",31,icon_1915
374,-31.945245610000000,115.862278500000000,George W Lander. Lodging House,30,icon_1915
456,-31.943306539999900,115.863251199999000,"Joshua Loong Choong, Fruiterer",30,icon_1915
