street_number,latitude,longitude,name_and_business,icon,
167,-31.94972357,115.8587251,167   M:1,bar,
168,-31.95000265,115.8591271,168   M:1,bar,"-31.949854, 115.859082"
169,-31.94964678,115.8585799,169   M:1,bar,
170,-31.94991712,115.8590536,170   M:1,bar,
171,-31.94957601,115.8584406,171   M:1,bar,"-31.949783, 115.858662"
172,-31.9498081,115.8590498,172   M:1,bar,
173,-31.9496606,115.8587358,173   M:1,bar,
174,-31.94991909,115.8592779,174   M:1,bar,
175,-31.94959854,115.8586115,175   M:1,bar,
176,-31.94983733,115.859171,176   M:1,bar,
177,-31.94949806,115.8585097,177   M:1,bar,
178,-31.94968645,115.8591091,178   M:1,bar,
179,-31.94959135,115.8587798,179   M:1,bar,
180,-31.94976099,115.8593214,180   M:1,bar,
181,-31.94954489,115.8586796,181   M:1,bar,
182,-31.94961182,115.8591643,182   M:1,bar,
183,-31.94951054,115.8586061,183   M:1,bar,
184,-31.94963988,115.8592832,184   M:1,bar,
185,-31.9494492,115.8585526,185   M:1,bar,
186,-31.94964478,115.8593823,186   M:1,bar,
187,-31.94944527,115.8587148,187   M:1,bar,
188,-31.94951261,115.8592134,188   M:1,bar,
189,-31.94923865,115.8586692,189   M:1,bar,
190,-31.94952101,115.8595124,190   M:1,bar,"-31.949599, 115.859355"
191,-31.94921084,115.8587564,191   M:1,bar,
192,-31.94954917,115.8593296,192   M:1,bar,
193,-31.94924855,115.858964,193   M:1,bar,
194,-31.94941671,115.859287,194   M:1,bar,
195,-31.94920109,115.8588771,195   M:1,bar,
196,-31.94943879,115.8594474,196   M:1,bar,
197,-31.94920098,115.8589612,197   M:1,bar,
198,-31.94933774,115.8594533,198   M:1,bar,
199,-31.94920913,115.859017,199   M:1,bar,
200,-31.94924329,115.8594237,200   M:1,bar,"-31.949297, 115.859397"
201,-31.94911609,115.8590955,201   M:1,bar,"-31.949113, 115.859095"
202,-31.94926489,115.8596251,202   M:1,bar,"-31.949370, 115.859508"
203,-31.9488892,115.8591715,203   M:1,bar,
204,-31.94910508,115.8594716,204   M:1,bar,"-31.949261, 115.859345"
205,-31.94880761,115.8591788,205   M:1,bar,
206,-31.94912718,115.8596319,206   M:1,bar,"-31.949419, 115.859551"
207,-31.94887026,115.8592546,207   M:1,bar,
208,-31.94901456,115.8595249,208   M:1,bar,
209,-31.94879218,115.8590149,209   M:1,bar,
210,-31.94894959,115.8596304,210   M:1,bar,
211,-31.94873918,115.8593411,211   M:1,bar,
212,-31.94885227,115.859655,212   M:1,bar,
213,-31.94867452,115.8592589,213   M:1,bar,
214,-31.94889152,115.8597856,214   M:1,bar,
215,-31.94860366,115.8592193,215   M:1,bar,
216,-31.94879895,115.8597258,216   M:1,bar,
217,-31.94864721,115.8593911,217   M:1,bar,
218,-31.94878507,115.8597836,218   M:1,bar,
219,-31.94852713,115.8593428,219   M:1,bar,
220,-31.94866627,115.8597278,220   M:1,bar,
221,-31.94854888,115.859505,221   M:1,bar,
222,-31.94859521,115.8598107,222   M:1,bar,
223,-31.94844474,115.8592411,223   M:1,bar,
224,-31.94865631,115.8599597,224   M:1,bar,
225,-31.9483446,115.859377,225   M:1,bar,
226,-31.94858297,115.8598626,226   M:1,bar,
227,-31.94834561,115.8592294,227   M:1,bar,
228,-31.94859705,115.8600272,228   M:1,bar,
229,-31.94844319,115.8595764,229   M:1,bar,
230,-31.94851167,115.8598722,230   M:1,bar,
231,-31.94829655,115.859481,231   M:1,bar,
232,-31.94853875,115.8600518,232   M:1,bar,
233,-31.94822479,115.8593127,233   M:1,bar,
234,-31.9484343,115.8599336,234   M:1,bar,
235,-31.94832545,115.8596361,235   M:1,bar,
236,-31.94846629,115.8601242,236   M:1,bar,
237,-31.94815173,115.8594664,237   M:1,bar,
238,-31.94832739,115.8599339,238   M:1,bar,
239,-31.948225,115.8596079,239   M:1,bar,
240,-31.94836263,115.8600935,240   M:1,bar,
241,-31.94805008,115.8594873,241   M:1,bar,
243,-31.94810804,115.8596472,243   M:1,bar,
244,-31.94834334,115.860199,244   M:1,bar,
245,-31.94790057,115.8597413,245   M:1,bar,
246,-31.94806741,115.860118,246   M:1,bar,
247,-31.94779455,115.8596969,247   M:1,bar,
248,-31.94807571,115.8602803,248   M:1,bar,
249,-31.94787514,115.8598954,249   M:1,bar,
250,-31.94799148,115.8601637,250   M:1,bar,
251,-31.947686,115.859755,251   M:1,bar,
252,-31.94796273,115.8603254,252   M:1,bar,
253,-31.94776862,115.8599617,253   M:1,bar,
254,-31.94785313,115.8602485,254   M:1,bar,
255,-31.9476946,115.8598678,255   M:1,bar,
256,-31.94786143,115.8604355,256   M:1,bar,
257,-31.94760683,115.8598396,257   M:1,bar,
258,-31.94774358,115.8603122,258   M:1,bar,
259,-31.94765147,115.8599232,259   M:1,bar,
260,-31.94779306,115.8604792,260   M:1,bar,
261,-31.94753858,115.8598932,261   M:1,bar,
262,-31.94769814,115.8603775,262   M:1,bar,
263,-31.94758099,115.860048,263   M:1,bar,
264,-31.94771803,115.8605186,264   M:1,bar,
265,-31.9475248,115.8599565,265   M:1,bar,
266,-31.94762469,115.8603728,266   M:1,bar,
267,-31.94741123,115.8599239,267   M:1,bar,
268,-31.94765822,115.8605542,268   M:1,bar,
269,-31.94740264,115.8600358,269   M:1,bar,
270,-31.9475556,115.8604356,270   M:1,bar,
271,-31.9473071,115.8599129,271   M:1,bar,
272,-31.94758571,115.8606067,272   M:1,bar,
